Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ159461,02/21/2016 03:35:00 AM,068XX S PERRY AVE,BATTERY,41.770172698,-87.628291299
HZ160003,02/21/2016 03:15:00 PM,002XX E 69TH PL,CRIMINAL DAMAGE,41.768355235,-87.619726115
HZ163599,02/17/2016 08:00:00 PM,029XX S INDIANA AVE,MOTOR VEHICLE THEFT,41.84141905,-87.621964544
HZ163023,02/24/2016 02:00:00 AM,075XX S SOUTH SHORE DR,BATTERY,41.76015578,-87.556752911
HZ163756,02/24/2016 05:00:00 PM,003XX E 51ST ST,CRIMINAL TRESPASS,41.802062624,-87.618732403
HZ163758,02/24/2016 04:50:00 PM,051XX S CALUMET AVE,BATTERY,41.801513039,-87.617733588
HZ170949,02/23/2016 12:00:00 PM,048XX S MICHIGAN AVE,THEFT,41.807010932,-87.622774469
HZ166002,02/25/2016 11:00:00 PM,077XX S BENNETT AVE,THEFT,41.754386686,-87.578489384
HZ165444,02/26/2016 08:24:00 AM,073XX S STONY ISLAND AVE,CRIMINAL DAMAGE,41.761797548,-87.585817494
HZ168073,02/27/2016 07:00:00 PM,067XX S SOUTH SHORE DR,DECEPTIVE PRACTICE,41.772837604,-87.566626344
HZ168042,02/28/2016 10:50:00 AM,051XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,41.801538809,-87.616145232
HZ168199,02/28/2016 01:46:00 PM,003XX W 47TH ST,THEFT,41.809079828,-87.633906079
HZ171385,02/28/2016 02:00:00 PM,076XX S COLES AVE,OTHER OFFENSE,41.757763414,-87.556444566
HZ169554,02/29/2016 12:00:00 PM,023XX E 70TH PL,BURGLARY,41.767148983,-87.567493189
HZ170361,02/29/2016 04:30:00 PM,013XX E 56TH ST,CRIMINAL DAMAGE,41.793315456,-87.592558277
HZ170853,02/29/2016 06:15:00 PM,060XX S EBERHART AVE,CRIMINAL DAMAGE,41.784843721,-87.613255009
HZ173984,02/29/2016 08:00:00 PM,006XX E BOWEN AVE,THEFT,41.819424656,-87.611114125
HZ170257,03/01/2016 09:41:00 AM,067XX S EAST END AVE,DECEPTIVE PRACTICE,41.772484654,-87.583838456
HZ170952,03/01/2016 05:20:00 PM,052XX S INGLESIDE AVE,ROBBERY,41.800428661,-87.602848135
HZ171353,03/02/2016 04:10:00 AM,049XX S FORRESTVILLE AVE,BATTERY,41.804996159,-87.612567255
HZ171568,03/02/2016 03:00:00 AM,069XX S PRAIRIE AVE,BURGLARY,41.769053315,-87.618567334
HZ171879,03/02/2016 01:01:00 PM,029XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.841622651,-87.617191438
HZ172410,03/02/2016 06:00:00 AM,066XX S RHODES AVE,BATTERY,41.774044549,-87.611880073
