Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ563201,12/23/2016 05:10:00 PM,076XX S STONY ISLAND AVE,BATTERY,41.756714109,-87.586085395
HZ565624,12/23/2016 05:00:00 PM,077XX S PRAIRIE AVE,OFFENSE INVOLVING CHILDREN,41.753935549,-87.61821834
HZ566424,12/25/2016 01:00:00 PM,011XX E 48TH ST,THEFT,41.807810206,-87.598028956
HZ564335,12/25/2016 01:12:00 AM,026XX E 76TH ST,HOMICIDE,41.757265662,-87.559137064
HZ571322,12/21/2016 01:00:00 PM,075XX S LANGLEY AVE,CRIMINAL DAMAGE,41.757649233,-87.607815887
HZ565087,12/26/2016 03:55:00 AM,070XX S JEFFERY BLVD,BATTERY,41.766946791,-87.57632241
HZ565120,12/26/2016 05:35:00 AM,074XX S STONY ISLAND AVE,MOTOR VEHICLE THEFT,41.759327126,-87.586154041
HZ565509,12/26/2016 01:45:00 PM,069XX S JEFFERY BLVD,BATTERY,41.768881851,-87.576372975
HZ569225,12/26/2016 07:00:00 PM,071XX S STATE ST,THEFT,41.764122489,-87.624879013
HZ566120,12/27/2016 12:50:00 AM,070XX S BENNETT AVE,BATTERY,41.766537518,-87.57876851
HZ566361,12/27/2016 09:50:00 AM,002XX E 41ST ST,ROBBERY,41.820174905,-87.620952378
HZ567080,12/27/2016 07:30:00 PM,072XX S BENNETT AVE,BATTERY,41.763772107,-87.579314074
HZ567424,12/27/2016 06:00:00 PM,075XX S STEWART AVE,BURGLARY,41.757548256,-87.634469566
HZ568003,12/28/2016 03:18:00 PM,076XX S COLFAX AVE,THEFT,41.756595325,-87.561476081
HZ568344,12/28/2016 06:30:00 PM,075XX S ESSEX AVE,BATTERY,41.758359919,-87.563932565
JA102060,12/24/2016 03:00:00 AM,071XX S UNIVERSITY AVE,ASSAULT,41.765165957,-87.597046209
HZ569216,12/29/2016 05:25:00 PM,002XX E 35TH ST,CRIMINAL TRESPASS,41.831061814,-87.621459125
HZ568940,12/29/2016 01:45:00 PM,001XX E 69TH ST,NARCOTICS,41.769228453,-87.621138751
HZ570170,12/29/2016 12:30:00 PM,002XX W 47TH ST,ASSAULT,41.809125265,-87.631906508
HZ571124,12/29/2016 10:00:00 PM,032XX S WALLACE ST,THEFT,41.835310693,-87.641341236
HZ569767,12/30/2016 08:15:00 AM,078XX S ELLIS AVE,ROBBERY,41.752483821,-87.600364881
HZ570197,12/30/2016 02:30:00 PM,051XX S DREXEL AVE,OTHER OFFENSE,41.801261714,-87.603953618
HZ570427,12/30/2016 02:40:00 PM,070XX S INDIANA AVE,ASSAULT,41.76651363,-87.620138743
HZ570609,12/30/2016 07:11:00 PM,078XX S VERNON AVE,PUBLIC PEACE VIOLATION,41.752096339,-87.613738405
HZ570845,12/31/2016 12:30:00 AM,075XX S PERRY AVE,BATTERY,41.757706259,-87.627991619
HZ571112,12/31/2016 06:00:00 AM,027XX S STATE ST,MOTOR VEHICLE THEFT,41.844074622,-87.626713502
HZ571749,12/31/2016 09:15:00 PM,004XX W 75TH ST,NARCOTICS,41.758053849,-87.635930129
JA101334,12/31/2016 02:20:00 PM,019XX E 71ST PL,THEFT,41.765286035,-87.577086035
HZ569619,12/30/2016 01:19:00 AM,036XX S LAKE PARK AVE,BATTERY,41.829389915,-87.606892634
HZ470557,10/11/2016 08:30:00 PM,074XX S BENNETT AVE,BATTERY,41.759668763,-87.579219169
